"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"4",6896,"pagerank","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"6",1308,"wordcount","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"9",2649,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"10",2836,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"13",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"14",4063,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"17",809,"sort","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"20",2869,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"22",766,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"23",1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"24",2618,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"25",4188,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"29",1277,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"31",4260,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"32",3061,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"33",2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"36",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"41",1392,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"45",2840,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"46",797,"sort","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"47",1293,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"48",2555,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"50",3006,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"52",821,"sort","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"54",2606,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"56",3004,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"57",2776,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"58",864,"sort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"61",4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"63",2986,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"64",793,"sort","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"65",1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"67",4251,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"69",2894,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"70",858,"sort","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"71",1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"72",2577,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"73",4204,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"80",2929,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"82",789,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"83",1266,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"84",2602,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"85",4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"86",2926,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"87",2854,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"88",846,"sort","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"91",4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"92",2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"94",773,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"96",1751,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"99",2804,"pagerank","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"100",882,"sort","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"103",4156,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"104",2740,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"105",2925,"pagerank","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"106",860,"sort","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"108",2555,"kmeans","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"109",4249,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"111",2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"112",795,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"114",2604,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"115",4452,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"120",2749,"kmeans","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"121",4203,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"122",2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"125",1270,"wordcount","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"129",2779,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"130",767,"sort","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"131",1253,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"134",2895,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"135",2687,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"136",735,"sort","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"137",1259,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"139",4117,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"142",676,"sort","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"144",2791,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"147",2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"149",1337,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"150",3015,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"151",4466,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"152",3045,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"156",1866,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"159",2769,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"161",1250,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"162",2733,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
